Stimulus,Pearson R,p
Mean,0.9972507689890378,0.0
A,0.9996924934406993,4.7124455100358055e-40
B,0.9924360946526861,2.2280241195833154e-23
C,0.9995808311417383,1.9382759600800765e-38
D,0.9974339886069746,5.31023643634577e-29
E,0.9912211663914243,1.322879755797405e-22
F,0.9990654917382669,2.9147991907905305e-34
G,0.9986210255819715,3.099594806808326e-32
H,0.9960192232079659,1.0244741161023836e-26
I,0.9988022798935604,5.718661117181672e-33
J,0.9981980479521303,7.666831320748277e-31
K,0.997691048736163,1.498150609808102e-29
L,0.9995399789646006,5.915475981632679e-38
M,0.9976284522439441,2.0645367479819467e-29
N,0.9985803787825238,4.3914760130773725e-32
O,0.9924604731235473,2.1436304322180438e-23
P,0.9994934372944292,1.8799803704734155e-37
Q,0.9985666217071092,4.9299244339694686e-32
R,0.996966723785779,3.9438727444906776e-28
S,0.9968473261679827,6.264180620701965e-28
T,0.9983884053633045,2.009957799981659e-31
U,0.9995039564936091,1.4615550737745352e-37
V,0.9977790824077878,9.400737090313743e-30
W,0.991718637114877,6.585690007762426e-23
X,0.999445149882844,5.604752686338126e-37
Y,0.9985467367741804,5.815645439845769e-32
Z,0.9999083790749177,2.3089038424759432e-46
